De,Vers,value
Russie,Allemagne,56.3
Russie,Italie,19.7
Russie,Pays-Bas,11.2
Russie,Turquie,15.6
Russie,Royaume-Uni,4.7
Russie,France,2.6
Russie,Autres pays d'Europe,57.7
Norvège,Allemagne,31.2
Norvège,Italie,5.4
Norvège,Pays-Bas,20
Norvège,Royaume-Uni,23.7
Norvège,France,17.6
Norvège,Belgique,7.5
Norvège,Espagne,1.2
Norvège,Autres pays d'Europe,0.3
Pays-Bas,Allemagne,13
Pays-Bas,Italie,1.6
Pays-Bas,Royaume-Uni,1
Pays-Bas,France,3.8
Pays-Bas,Belgique,8.4
Pays-Bas,Autres pays d'Europe,0.3
Algérie,Italie,11.5
Algérie,Espagne,9.1
Algérie,Autres pays d'Europe,0.4
Azerbaïdjan,Turquie,11.1
Azerbaïdjan,Autres pays d'Europe,2.2
L'Iran,Turquie,5.1
Libye,Italie,4.2
Autres pays d'Europe,Allemagne,1.6
Autres pays d'Europe,Italie,8.4
Autres pays d'Europe,Pays-Bas,7.2
Autres pays d'Europe,Royaume-Uni,0.3
Autres pays d'Europe,France,1.7
Autres pays d'Europe,Belgique,1.7
Autres pays d'Europe,Ukraine,14.7
Autres pays d'Europe,Espagne,2.1
Autres pays d'Europe,Autres pays d'Europe,63
